State,Type_1,Count
VIC,Total,250773
VIC,Clubs,,
NSW,Total,588434
NSW,Clubs,,
TAS,Total,31640
TAS,Clubs,,
ACT,Total,34703
ACT,Clubs,,
NT,Total,16469
NT,Clubs,,
QLD,Total,252663
QLD,Clubs,,
WA,Total,160321
WA,Clubs,,
SA,Total,86070
SA,Clubs,,
