State,Type_1,Count
VIC,Total,456604
VIC,Clubs,,
NSW,Total,983961
NSW,Clubs,,
TAS,Total,26509
TAS,Clubs,,
ACT,Total,39769
ACT,Clubs,,
NT,Total,9731
NT,Clubs,,
QLD,Total,186835
QLD,Clubs,,
WA,Total,161339
WA,Clubs,,
SA,Total,88502
SA,Clubs,,
