State,Type_1,Count
VIC,Total,213794
VIC,Clubs,,
NSW,Total,491890
NSW,Clubs,,
TAS,Total,22815
TAS,Clubs,,
ACT,Total,33604
ACT,Clubs,,
NT,Total,12327
NT,Clubs,,
QLD,Total,183960
QLD,Clubs,,
WA,Total,144258
WA,Clubs,,
SA,Total,76702
SA,Clubs,,
