State,Type_1,Count
VIC,Total,352798
VIC,Clubs,358
NSW,Total,1033765
NSW,Clubs,985
TAS,Total,18294
TAS,Clubs,125
ACT,Total,39386
ACT,Clubs,44
NT,Total,8445
NT,Clubs,17
QLD,Total,173116
QLD,Clubs,317
WA,Total,152809
WA,Clubs,249
SA,Total,69715
SA,Clubs,291
