State,Type_1,Count
VIC,Total,326578
VIC,Clubs,,
NSW,Total,593217
NSW,Clubs,,
TAS,Total,28040
TAS,Clubs,,
ACT,Total,35291
ACT,Clubs,,
NT,Total,16242
NT,Clubs,,
QLD,Total,269366
QLD,Clubs,,
WA,Total,152540
WA,Clubs,,
SA,Total,99021
SA,Clubs,,
