State,Type_1,Count
VIC,Total,355180
VIC,Clubs,,
NSW,Total,723153
NSW,Clubs,,
TAS,Total,29806
TAS,Clubs,,
ACT,Total,37634
ACT,Clubs,,
NT,Total,19050
NT,Clubs,,
QLD,Total,268415
QLD,Clubs,,
WA,Total,163338
WA,Clubs,,
SA,Total,114253
SA,Clubs,,
