country,latitude,longitude,name
VIC,-37.020100,144.964600,Victoria
NT,-19.491411,132.550964,Northern Territory
SA,-30.000233,136.209152,South Australia
WA,-25.042261,117.793221,Western Australia
QLD,-20.917574,142.702789,Queensland
NSW,-31.840233,145.612793,New South Wales
