Year, Total_1, Average
2010



2014,1826776,,
2015,1778844,12706
2016,1771014,12650
2017,1527878,10913
2018,1522770,10877
2019,1085734,8617
2020,892122,5682
2021,896242,5602
2022,1302662,7992
2023,1446299,8558
